date,text,url
03/1/2020,"Taipei, March 1 (CNA) A woman who was evacuated from the quarantined Diamond Princess cruise ship in Japan has been diagnosed to become Taiwan's 40th confirmed COVID-19 coronavirus case, the Central Epidemic Command Center (CECC) said Sunday.The newest patient is a woman in her 70s who lives in northern Taiwan, the CECC said.The woman boarded the cruise ship Jan. 20 and was originally diagnosed with coronavirus Feb. 15 after the ship was quarantined off Yokohama since Feb.4, even though she did not show any respiratory issues, the CECC said.She was hospitalized in Japan Feb. 16 and then returned to Taiwan Feb. 26 after two tests showed she was negative for the virus, the CECC said.Health Minister Chen Shih-chung (陳時中), CECC chief, said the woman wore a mask the whole time on the flight and was separated from other passengers with nobody sitting within two rows in front of or behind her.After disembarking from her flight she was taken by ambulance to be quarantined at a hospital, with the latest test result showing her to be positive for the coronavirus, Chen said.CECC expert Chang Shang-chun (張上淳) said the woman originally showed negative on her first test, then an unconfirmed result on her second test, which was followed by a positive result on her third test.One of the reasons for the negative tests to later turn out to be positive may have been that toward the end of a particular treatment, the virus level may have dropped low, affecting the tests detecting the virus, Chang said.This is why some international reports have shown that people who are believed to be been cured and have been discharged from hospital later turn out to be positive, he said.Meanwhile, three more patients in Taiwan who were infected with coronavirus were discharged from hospital after recovering from the disease, the CECC said Sunday.The discharged patients were a female tourist from China, the wife of a Taiwanese businessman from Wuhan -- the epicenter of the virus -- and an imported case from Macau.This brought the total number of people who have been discharged after being hospitalized for treatment in Taiwan to 12, the CECC said.As of Sunday, there had been 2,192 people suspected of being infected, including 40 confirmed cases, with one death, according to Taiwan Centers for Disease Control statistics. A total of 2,059 people had been cleared of infection, with the remainder awaiting test results while under quarantine.(By Chen Wei-ting, Chang Hsiung-feng and William Yen) Enditem/J",https://focustaiwan.tw/society/202003010008
03/1/2020,"Taipei, March 1 (CNA) Taiwan's airport officials confiscated 3,020 surgical face masks from a Taiwanese citizen heading to Singapore Feb. 25, the largest single seizure in the country from air travelers since export restrictions were placed on face masks in late January due to the COVID-19 coronavirus, the Customs Administration said Sunday.The more than 3,000 masks were found in the check-in luggage of a Taiwanese female who was scheduled to fly to Singapore, a Customs Administration official said.Inspectors originally found 3,270 face masks in her luggage, exceeding the maximum 250 masks a traveler is allowed to carry out of the country per trip, the official said.The authorities confiscated 3,020 masks and returned the allowable quota of 250 to the passenger in question, the official added. The seized masks will be redistributed for use in the government's efforts to prevent the spread of the COVID-19 virus.According to Customs Administration tallies, it has so far confiscated 171,450 face masks in 851 cases of violations since Jan. 24.Meanwhile, a total of 3,289 surgical masks were found in outbound postal packages at Chunghwa Post's mail processing center in Taipei last Tuesday and Wednesday, according to Customs Administration.In view of the COVID-19 epidemic and to ensure sufficient domestic supplies, face mask exports, including those sent through the post, are forbidden from Jan. 24 to April 30 unless exporters secure prior authorization from the the Ministry of Economic Affairs' Bureau of Foreign Trade.(By Wu Chia-rung and Joseph Yeh) Enditem/J",https://focustaiwan.tw/society/202003010009
03/1/2020,"Taipei, March 1(CNA) Minister Without Portfolio Lin Wan-i (林萬億) said Sunday that it would be best to give new functions and implications to the National Chiang Kai-shek (CKS) Memorial Hall, seen by some as a symbol of authoritarianism, instead of dismantling it.Lin, tasked with overseeing issues related to the transformation of the hall, made the remarks after renewed calls from families of the 228 Incident victims to dismantle the structure.There is no timetable yet for the fate of the CKS Memorial Hall as the Ministry of Culture(MOC) is still compiling relevant files with relation to the transformation, Lin said, adding that inter-department meetings will be convened for discussion after the MOC submits its recommendation.There are many suggestions regarding the transformation of the memorial hall, issues such as the structure's new name, new functions and how to deal with the late President Chiang Kai-shek's statue, Lin said,Suggestions from the victims' families will be respected, but at the same time, these suggestions should be viable, Lin said.Asked if dismantling the memorial hall is an option considered by the government, Lin reiterated that the best thing to do is to give new functions and positive implications to the structure instead of removing it or deserting it.The CKS Memorial Hall, a 250,000-square-meter tourist attraction in the heart of Taipei, was completed in 1980 in Chiang's memory, former leader of the Republic of China who moved his government to Taiwan in 1949 after fleeing China following his defeat in the Chinese civil war.However, families and relatives of political persecution victims during the martial law period under Chiang have been calling for the dismantling of the memorial hall as they see Chiang as a human rights violator who should not be treated as a national hero.""We all know that the (statue of the) persecutor is inside the structure,"" Liao Ying-hao (廖英豪), grandson of a political victim of the 228 Incident, a civil uprising that began Feb. 28, 1947 that led to a bloody government crackdown, said during a commemorative event Friday.""It remains a stab in the heart for the victims unless the structure is removed,"" he said, urging the government to make a decision soon.Liao described Chiang as the principal culprit of the 228 Incident.On the other hand, Presidential Office spokesman Ting Yun-kung (丁允恭) said Friday that the Legislative Yuan is currently working on a plan to remove the autocratic characteristics of the CKS Memorial Hall.Ting said the government will eventually come up with a solution on the future of the CKS Memorial Hall that can promote social reconciliation and the country's unity.(By Gu Chuan, Wen Kuei-hsiang and Emerson Lim) Enditem/J",https://focustaiwan.tw/politics/202003010010
03/1/2020,"Taipei, March 1 (CNA) More than 20 people are now staying at two quarantine hotels in Taipei under an initiative by the city government to house individuals who have to undergo quarantine but do not have a place to stay in Taiwan.The individuals include Taiwanese businessmen who work in China, as well as people traveling from Italy and South Korea to Taiwan, Commissioner Liu Yi-ting (劉奕霆) of Taipei's Department of Information and Tourism said Saturday.None of them have any symptoms of the COVID-19 coronavirus, Liu stressed, and they are paying for their own stays.As part of efforts to prevent the spread of COVID-19, all individuals entering Taiwan from China, South Korea and Italy have to undergo 14-day home quarantine upon entry.Those in quarantine are not allowed to leave their homes and are subject to daily health checks by their ward chiefs.The Taipei City government has received reports, however, that some visitors have not been permitted to stay at hotels they had booked in advance because they had to undergo quarantine, which spurred the launch of the initiative.Under the plan, individuals who have displayed no COVID-19 symptoms are allowed to stay at these designated quarantine hotels.Those who do have symptoms are awaiting COVID-19 test results, or have had contact with confirmed COVID-19 patients will be placed in medical institutions if they have nowhere to stay in the country.Currently, two hotels that are providing 40 rooms in total are cooperating with the city under the plan, and two more are expected to join next week, Liu said.The hotels have to pass inspections from Taipei's Department of Health, Department of Environmental Protection and Department of Civil Affairs before they can receive such visitors, Liu said.Regarding the name and location of the hotels, Liu said that Taipei Mayor Ko Wen-je (柯文哲) has not instructed that these information be made public.Liu also stressed that these hotels remain safe for regular guests staying there, as those in quarantine are placed on different floors.Only hotel employees who are in charge of delivering food to and collecting waste from quarantined individuals are allowed to enter the floors they are staying on, he said, and since these individuals are not allowed to exit their rooms, regular guests are perfectly safe.Even if a hotel runs on a central air conditioning system, which neither of the hotels do, it will not contribute to the spread of the disease, Liu said, adding that he has confirmed this with the city's health department.The COVID-19 virus spreads primarily through respiratory droplets, and there is no evidence so far to indicate that it can spread through airborne transmission, Liu said.According to a Department of Health press statement released Feb. 27, no housekeeping is provided to quarantined individuals during their stay. Instead, the hotels provide them with enough towels, bedsheets and pillowcases in their rooms, as well as cleansing products.When these individuals check out, amenities including shower gels, toothbrushes and slippers will be immediately disposed of, and cleaning staff will be outfitted with masks, gloves and goggles when disinfecting the rooms, the statement said.(By Chen Yi-hsuan, Liang Pei-chi and Chiang Yi-ching) Enditem/J",https://focustaiwan.tw/society/202003010011
03/1/2020,"Taipei, March 1 (CNA) There is no evidence that pets or other domestic animals have been infected with COVID-19 coronavirus or could spread it to humans, the Council of Agriculture (COA) said in a statement issued Sunday.The COA issued the statement after the Agriculture, Fisheries and Conservation Department in Hong Kong issued a notice that a dog living in the home of a person diagnosed with COVID-19 had tested positive a week earlier for the virus.Both the World Organization for Animal Health and the World Health Organization have said there is no evidence that pets such as cats and dogs could become infected or transmit the virus, according to the COA.The pet dog, which was under quarantine, had nasal and oral samples that were confirmed as ""weak-positive"" for the virus, although its anal samples tested negative for the virus and the dog has not shown any symptoms, according to the COA.The ""weak-positive"" tests could be because of close contact between the COVID-19 patient and the dog and a result of environmental contamination of the dog's mouth and nose, the COA indicated.The COA's Animal Health Research Institute has developed a real-time reverse transcription-polymerase chain reaction (RT-PCR) assay for detection of the virus and will employ positive control samples for the experiment, according to the statement.The COA will also hold an experts meeting to determine sample taking and testing methods and will soon conduct tests on samples from animals. Initially, it plans to test 10 animal samples daily and expand its testing capacity further depending on the development of the epidemic.However, the COA stressed there is no evidence that pets can become infected or transmit the virus.It advised pet owners to follow proper sanitation and hygiene habits, such as washing hands thoroughly after touching their pets, and to help their pets stay healthy.(By Chang Hsiung-feng and Evelyn Kao) Enditem/J",https://focustaiwan.tw/society/202003010007
03/2/2020,"Taipei, March 2 (CNA) A member of a Taiwanese tour group traveling to Israel that flew on the same plane as an Israeli citizen infected with the novel coronavirus (COVID-19) has been hospitalized with a respiratory illness after returning to Taiwan on Monday.The 11-member tour group flew from Taipei to Istanbul on Feb. 27 and then from Istanbul to Tel Aviv on Turkish Airlines flight TK784 early on the morning of Feb. 28.The Israeli passenger also took flight TK784 on his return to Israel from Japan, after having presumably recovered from his novel coronavirus infection developed on the ill-fated Diamond Princess cruise ship.He was diagnosed with COVID-19 soon after arriving home, however, and all other people who had been on TK784 were required to leave Israel immediately as a precaution against the further spread of the epidemic, according to a statement issued by Taiwan's Ministry of Foreign Affairs (MOFA).The Taiwanese tour group was put on a flight back to Istanbul the same night, but then had trouble returning from Turkey to Taiwan on Feb. 29, the statement said.A day later, Turkish Airlines arranged a special charter to take the tour group back to Taiwan by way of Pakistan, which arrived in Taiwan early Monday evening.The 11 Taiwanese were the only passengers on the return flight and wore face masks the entire time, the Central Epidemic Command Center said.After the plane arrived at Taiwan Taoyuan International Airport at 5:30 p.m., quarantine officials and medical staff boarded the aircraft and conducted checks of everyone on board, according to the CECC.Once the passengers were screened, the woman was sent to the hospital after showing signs of respiratory disease and was to be tested for the novel coronavirus, the CECC said.The other 10 passengers showed no symptoms but will be required to undergo 14-day home isolation, the CECC said.To date, Taiwan has had 41 confirmed cases of COVID-19, with one person dying from the disease.(By Chen Wei-ting and Evelyn Kao) Enditem/ls",https://focustaiwan.tw/society/202003020024
03/2/2020,"TAIPEI (Taiwan News) — Taiwan’s Development Center for Biotechnology (DCB) announced on Monday (March 2) that it has successfully completed the synthesis of favilavir, a drug that could be potentially used to treat Wuhan coronavirus,

The DCB said that in the future, it would work with cGMP manufacturers to produce sufficient antiviral drugs for patients, according to a CNA report.

DCB deputy director Chuang Shih-hsien (莊士賢) said that the center focused on synthesizing favilavir, which was developed by a Japanese pharmaceutical company and approved for sale in Japan in March 2014. The drug is mostly used to treat flu patients who do not respond to Tamiflu and Relenza Rotadisk, the report said.

Favilavir has been used by both Japan and China to treat severe cases of COVID-19, and the DCB team expects it to become a significant drug in treating the disease, according to the report.

DCB president Herbert Wu (吳忠勳) said that the center was able to synthesize the drug in four days after acquiring its components and that the goal is to transfer the process to domestic companies so they can mass-produce a generic version to fight the epidemic, per CNA.",https://www.taiwannews.com.tw/en/news/3884063
03/2/2020,"Taipei, March 2 (CNA) The Netherlands Trade and Investment Office in Taiwan (NTIO), which represents Dutch interests in the country in the absence of formal diplomatic relations, said Monday it will fund a program to cultivate local talent for Taiwan's offshore wind energy development.At a news conference, Guy Wittich, head of the NTIO, said based on the good relationship between the Netherlands and Taiwan, the Dutch government approved a talent cultivation program at the end of 2019.Under the program, Wittich said, the Dutch government will fully fund the training of trainers in Taiwan by the Netherlands Organisation for Applied Scientific Research (TNO), the Wind Energy Institute at the Delft University of Technology, and Water Research Institute Deltares.Wittich said with Taiwan's first offshore wind farm becoming operational last year, renewable energy development in the country has entered a new stage.Efforts to cultivate talent have become critical to the offshore wind energy industry in Taiwan, the NTIO said, which is why it has teamed up with National Taiwan University (NTU) and the Metal Industries Research & Development Centre (MIRDC) to carry out the program.The NTIO said National Cheng Kung University and National Sun Yat-sen University are also likely to take part.According to the NTIO, more than 10 Dutch companies, most of them in the marine engineering industry, have invested in Taiwan and these investors, recognizing the lack of local talent, suggested the Dutch government should set up a talent cultivation program locally.In the first stage, the program will cultivate 20 trainers, the office said.The office did not disclose the size of the funding the Dutch government will provide.In response to the program, Weng Su-chen (翁素真), chief secretary of the Bureau of Energy under the Ministry of Economic Affairs (MOEA), said the MOEA is planning to set up an offshore wind energy training center in Kaohsiung at the end of this year and she hopes trainers from the Dutch talent cultivation program will join the training center, which aims to cultivate about 500 trainees in the initial phase.According to a recent survey conducted by the NTU Energy Research Center, Taiwan will need about 20,000 offshore energy development professionals by 2025. The center said under the program NTU and the MIRDC will focus on mid-range white-collar management experts.(By Pan Yi-ching and Frances Huang) Enditem/AW",https://focustaiwan.tw/business/202003020021
03/2/2020,"Taipei, March 2 (CNA) The number of workers on unpaid leave in Taiwan rose sharply to 1,604 in the last two weeks of February, due mainly to the effects of the novel coronavirus outbreak on the economy, the Ministry of Labor (MOL) said Monday.As of Feb. 29, the number of workers who had agreed to go on furlough jumped by 735 to 1,604, compared with 869 in the first two weeks of February, according to MOL statistics.Meanwhile, the number of employers implementing unpaid leave also increased in the second half of February, spiking from 22 in the previous two weeks to 40, the MOL data showed.During the 15-day period, three employers ended their unpaid leave programs, but 21 others launched new programs agreed upon by management and employees, bringing the total to 40, the data showed.More than 50 percent of the companies with employees on unpaid leave in the last two weeks of February were businesses in the metal/electromechanical industry, including the manufacturers of parts and components and machine tools, according to Huang Wei-chen (黃維琛), deputy director of the MOL's Department of Labor Standards and Equal Employment.Most of the companies implementing unpaid leave are small enterprises with a workforce of fewer than 50 people, and their unpaid leave programs typically last for less than three months, with their employees each agreeing to take up to four days of unpaid leave per month, according to the MOL.The latest figures reflect the effects of the novel coronavirus (COVID-19) on the country's tourism/hospitality, restaurant and catering, and wholesale and retail industries, Huang said.The MOL said, however, that employers have been instructed to pay their furloughed employees at least NT$23,800 (US$795) per month, which is the minimum wage, so that the workers can maintain their living standards.The ministry's Workforce Development Agency has in place a program to subsidize companies that offer on-the-job training to furloughed workers to upgrade their job skills, he said.Under the program, employers can apply for subsidies to hold training sessions, with each employee eligible to receive NT$158 per hour for attending a maximum 120 hours of training per month, according to Huang.(By Chang Hsiung-feng and Evelyn Kao) Enditem/pc",https://focustaiwan.tw/business/202003020014
03/2/2020,"Taipei, March 2 (CNA) A public health expert on Monday advised people to embrace social distancing measures to slow down the spread of the COVID-19 coronavirus.While the number of confirmed diagnoses of the acute respiratory disease are rising around the world, Taiwan can help minimize the threat by applying social distancing as used in other countries, said Chen Hsiu-hsi (陳秀熙), vice dean of National Taiwan University's College of Public Health, during a press conference in Taipei.One such approach is to keep a distance of at least one meter between people as practiced in Finland, he said, adding that even when Finns line up at the bus stop, they still keep roughly that distance between each other.""I had a chance to be a visiting professor in Finland in the past and it was very interesting,"" Chen said. ""If there was a free seat next to someone on the bus, Finnish people would rather go sit somewhere else further away.""Chen said the social distancing model could be a good idea for people in Taiwan and other countries to prevent the spread of the coronavirus.South Korea reported over 800 new coronavirus cases Saturday and one of the main reasons is because a church sect in the country's south-eastern Daegu City tightly packs worshippers into its religious services, Chen said.It is not advisable to hold large scale activities at this point in time, but if an event must be held, there are ways to decrease the risk, Chen said.In addition to screening people for fever, event-goers who have a questionable travel history or history of contact with possible infection carriers should be placed at the back which is better ventilated.""If we implement this method in a mathematical model of the scenario involving the church sect in South Korea, the 800 infections drop to a much lower number,"" he said.South Korea has been under international media scrutiny as one of the hardest hit countries outside China -- the origin of the virus -- with another 476 new coronavirus cases reported Monday, hiking its national tally to 4,212 and also increasing the death toll to 22, according to Korea Centers for Disease Control and Prevention statistics.Meanwhile, in Taiwan as of Sunday, 2,291 people have been suspected of being infected, including 41 confirmed cases, with one death, according to Taiwan Centers for Disease Control statistics. A total of 2,068 people had been cleared of infection, with the remainder awaiting test results while under quarantine.The total number of people who have been discharged after being hospitalized for treatment in Taiwan is 12, according to official figures.(By William Yen) Enditem/AW",https://focustaiwan.tw/society/202003020011
