date,title,text,url
3/2/2020,Taiwan shares open lower,"Taipei, March 2 (CNA) Taiwan shares opened down 107.51 points at 11,184.66 Monday on turnover of NT$7.092 billion (US$234.4 million).(By Flor Wang) Enditem",https://focustaiwan.tw/politics/202003020001
3/2/2020,Taiwan headline news,"Taipei, March 2 (CNA) The lead stories in major Taiwan dailies on Monday are as follows:@United Daily News: Diamond Princess passenger who returned from Japan tests positive in Taiwan for coronavirus@China Times: Former CDC head advises against overseas travel@Liberty Times: Taiwan confirms 40th case of coronavirus@Apple Daily: Woman who recovered in Japan confirmed as Taiwan's 40th coronavirus patient@Economic Daily News: Electronics supply chain in limbo, casts shadow over Q2 orders@Commercial Times: Trump pressures Fed to lower interest rates@Taipei Times: CECC confirms 40th coronavirus caseEnditem",https://focustaiwan.tw/politics/202003020002
3/2/2020,Taiwanese seeking jobs in Philippine gambling sector urged to be cautious,"Taipei, March 1 (CNA) The Criminal Investigation Bureau (CIB) on Sunday advised Taiwanese applying for work in the Philippines gambling industry to exercise caution, saying many companies in that sector are operating outside the law.In a press release, the CIB said gambling in the Philippines is legal only within designated areas, and many companies running that kind of business do not have the required government permits.Many Taiwanese employees in illegal online gambling businesses in the Philippines become embroiled in disputes over pay and suffer physical abuse, while some are abducted and their families are asked to pay a ransom for their release, the CIB said.The CIB said that in the first two months of the year, its liaison officer in Manila, in cooperation with Philippine law enforcement, rescued three Taiwanese employees in the gambling business who had been abducted.The figures for such cases were 12 in 2019 and 11 in 2018, the CIB said, adding that in some cases, the Taiwanese employees had fallen victim to loan sharks.People, therefore, are warned to be cautious when seeking jobs in the gambling business in the Philippines, the CIB said, citing the recent case of a Taiwanese being allegedly abducted and beaten after he got into a dispute with the illegal gambling company at which he was employed.The Taipei Economic and Cultural Office (TECO) in the Philippines received a call from the Taiwanese employee, appealing for help and saying also that his salary was being withheld, according to the CIB.Potential Taiwanese employees should carefully check the background of gambling enterprises in the Philippines before accepting jobs and should make sure they understand the terms of the work contracts, the CIB said.Those who do accept jobs in the gambling industry should ensure that when they arrive in the Philippines, the company would process their work visas, permits and other required documents, the CID advised.(By Huang Li-yun and Emerson Lim) Enditem/pc",https://focustaiwan.tw/politics/202003020003
3/2/2020,Taichung company reopens after 2-week closure due to COVID-19 scare,"Taipei, March 2 (CNA) A woodworking company in Taichung resumed work Monday after a two-week shutdown that was spurred by a novel coronavirus (COVID-19) infection and death in the family of one of its employees.All 58 of the company's employees were sent on leave and instructed to remain in home quarantine from Feb. 17 to March 1.After the two week period, the employees all tested negative for the COVID-19, and the company was allowed to resume operations on Monday, the Taichung Health Bureau said.The shutdown was spurred by the infection and subsequent death of a 61-year old private driver, Taiwan's 19th coronavirus case and first death, who was a relative of one of the company's employees.Before the man died on Feb. 16, he had infected four relatives during a family gathering on Jan. 27 -- his mother, sister and brother, and the husband of his niece.The woodworking company in the city's Tanzi District said Monday that its premises have been thoroughly disinfected and its employees will receive full pay for the two weeks they were in home quarantine.Meanwhile, a food processing factory in Taichung, at which the sister of the 19th patient was employed, also resumed work on Monday but said some of its workers were still in home quarantine.(By Hao Hsueh-chin, Chao Li-yen, Su Mu-chun and Ko Lin) Enditem/pc",https://focustaiwan.tw/politics/202003020004
3/2/2020,Taiwan shares close down 1.08%,"Taipei, March 3 (CNA) Taiwan shares closed down 121.71 points, or 1.08 percent, at 11,170.46 Monday on turnover of NT$199.657 billion (US$ 6.6 billion).(By Flor Wang) Enditem",https://focustaiwan.tw/politics/202003020005
3/3/2020,Taiwan shares open higher,"Taipei, March 3 (CNA) Taiwan shares opened up 109.4 points at 11,279.86 Tuesday on turnover of NT$4 billion (US$133.85 million).(By Christie Chen) Enditem",https://focustaiwan.tw/politics/202003030001
3/3/2020,U.S. dollar down in Taipei trading,"Taipei, March 3 (CNA) The U.S. dollar was traded at NT$29.995 at 10 a.m. Tuesday on the Taipei Foreign Exchange, down NT$0.129 from the previous close.(By Christie Chen) Enditem",https://focustaiwan.tw/politics/202003030002
3/3/2020,Taiwan headline news,"Taipei, March 3 (CNA) The lead stories in major Taiwan dailies on Tuesday are as follows:@United Daily News: Taiwanese tour group sent back from Israel, one hospitalized@China Times: Hospital cluster cases could increase@Liberty Times: Lawmakers to amend law to prevent Chinese nationals from abusing national health insurance system@Apple Daily: 11 Taiwanese refused entry into Israel after passenger on same plane confirmed with COVID-19@Economic Daily News: Influx of hot money drives New Taiwan dollar to two-week high@Commercial Times: Central banks in U.S., Japan, U.K. cut interest rates to rescue market@Taipei Times: CECC adds masks; new case confirmedEnditem/ls",https://focustaiwan.tw/politics/202003030003
3/4/2020,Taiwan shares open higher,"Taipei, March 4 (CNA) Taiwan shares opened up 40.53 points at 11,368.25 Wednesday on turnover of NT$3.03 billion (US$101.18 million).(By Christie Chen) Enditem",https://focustaiwan.tw/politics/202003040001
3/4/2020,U.S. dollar down in Taipei trading,"Taipei, March 4 (CNA) The U.S. dollar was traded at NT$29.977 at 11 a.m. Wednesday on the Taipei Foreign Exchange, down NT$0.11 from the previous close.(By Christie Chen) Enditem",https://focustaiwan.tw/politics/202003040002
